Framework,Tag,Members,Confidence,CandidateHooks,ParseSites
Antares,HunterSeeker.DescentSpeed,HunterSeekerDescentSpeed,member-referenced,9,src/Ext/TechnoType/Body.cpp:389
Antares,HunterSeeker.DetonateProximity,HunterSeekerDetonateProximity,member-referenced,9,src/Ext/TechnoType/Body.cpp:386
Antares,HunterSeeker.EmergeSpeed,HunterSeekerEmergeSpeed,member-referenced,9,src/Ext/TechnoType/Body.cpp:390
Antares,HunterSeeker.Ignore,HunterSeekerIgnore,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:391
Antares,HunterSeeker.RandomOnly,HunterSeeker_RandomOnly,member-referenced,1,src/Misc/SWTypes/HunterSeeker.cpp:45
Antares,HunterSeeker.Type,HunterSeeker_Type,member-referenced,1,src/Misc/SWTypes/HunterSeeker.cpp:44
Antares,Identifier,ModIdentifier,member-referenced,5,src/Ares.UISettings.cpp:240
Antares,ImmuneToAbduction,ImmuneToAbduction,member-referenced-broad,203,src/Ext/TechnoType/Body.cpp:317
Antares,ImmuneToEMP,ImmuneToEMP,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:219
Antares,ImmuneToSaboteurs,ImmuneToSaboteurs,same-subsystem-broad,103,src/Ext/BuildingType/Body.cpp:246
Antares,Infantry,,same-subsystem-broad,332,src/Misc/RMG.cpp:129
Antares,InfDeathAnim,InfDeathAnim,member-referenced,15,src/Ext/WarheadType/Body.cpp:92
Antares,InhibitorRange,InhibitorRange,member-referenced-broad,203,src/Ext/TechnoType/Body.cpp:406
Antares,InitialPayload.Nums,InitialPayload_Nums,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:201
Antares,InitialPayload.Types,InitialPayload_Types,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:200
Antares,Insignia.ShowEnemy,Insignia_ShowEnemy,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:269
Antares,IQ,TogglePowerIQ,member-referenced,40,src/Ext/Rules/Body.cpp:162
Antares,IronCurtain.Cap,IC_Cap,member-referenced,31,src/Ext/WarheadType/Body.cpp:80
Antares,IronCurtain.Duration,IC_Duration,member-referenced,31,src/Ext/WarheadType/Body.cpp:79
Antares,IronCurtain.Modifier,IronCurtain_Modifier,member-referenced-broad,89,src/Ext/TechnoType/Body.cpp:283
Antares,IsBomb,Is_Bomb,member-referenced,14,src/Ext/TechnoType/Body.cpp:176
Antares,IsCow,Is_Cow,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:155
Antares,IsDesolator,Is_Deso,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:153
Antares,IsDesolator.RadDependant,Is_Deso_Radiation,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:154
Antares,IsPassable,IsPassable,member-referenced,16,src/Ext/BuildingType/Body.cpp:227
Antares,IsTrench,,same-subsystem-broad,103,src/Ext/BuildingType/Body.cpp:151
Antares,IvanBomb.AttachSound,Ivan_AttachSound,member-referenced,34,src/Ext/WeaponType/Body.cpp:100
