Address,Framework,Channel,Function,StolenBytes,Subsystem,SourceFile
0x4652ED,Phobos,release,BuildingTypeClass_Load_Suffix,0x7,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x465300,Antares,release,BuildingTypeClass_SaveLoad_Prefix,0x5,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x465300,Ares,release,BuildingTypeClass_SaveLoad_Prefix,0x5,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x465300,Phobos,release,BuildingTypeClass_SaveLoad_Prefix,0x5,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x46536A,Antares,release,BuildingTypeClass_Save_Suffix,0x7,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x46536A,Ares,release,BuildingTypeClass_Save_Suffix,0x7,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x46536A,Phobos,release,BuildingTypeClass_Save_Suffix,0x7,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x465550,Antares,release,BuildingTypeClass_GetFoundationOutline,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465550,Ares,release,BuildingTypeClass_GetFoundationOutline,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465A48,Antares,release,BuildingTypeClass_GetBuildup_BuildupTime,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465A48,Ares,release,BuildingTypeClass_GetBuildup_BuildupTime,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465D40,Phobos,release,BuildingClass_Is1x1AndUndeployable_BuildingMassSelectable,0x6,Misc,src/Misc/Selection.cpp
0x465D40,Phobos,release,BuildingTypeClass_IsVehicle,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465D4A,Antares,release,BuildingType_IsUndeployable,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465D4A,Ares,release,BuildingType_IsUndeployable,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x4664BA,Antares,release,BulletClass_CTOR,0x5,Ext/Bullet,src/Ext/Bullet/Body.cpp
0x4664BA,Ares,release,BulletClass_CTOR,0x5,Ext/Bullet,src/Ext/Bullet/Body.cpp
0x4664BA,Kratos,release,BulletClass_CTOR,0x5,Hooks,src/Hooks/BulletExtHook.cpp
0x4664BA,Phobos,release,BulletClass_CTOR,0x5,Ext/Bullet,src/Ext/Bullet/Body.cpp
0x4664FB,Antares,release,BulletClass_Initialize_Ranged,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x4664FB,Ares,release,BulletClass_Initialize_Ranged,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x466556,Kratos,release,BulletClass_Init,0x6,Hooks,src/Hooks/BulletExtHook.cpp
0x466556,Phobos,release,BulletClass_Init,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x4665E9,Antares,release,BulletClass_DTOR,0xA,Ext/Bullet,src/Ext/Bullet/Body.cpp
0x4665E9,Ares,release,BulletClass_DTOR,0xA,Ext/Bullet,src/Ext/Bullet/Body.cpp
0x4665E9,Kratos,release,BulletClass_DTOR,0xA,Hooks,src/Hooks/BulletExtHook.cpp
0x4665E9,Phobos,release,BulletClass_DTOR,0xA,Ext/Bullet,src/Ext/Bullet/Body.cpp
0x4666F7,Kratos,release,BulletClass_Update,0x6,Hooks,src/Hooks/BulletExtHook.cpp
0x4666F7,Phobos,release,BulletClass_AI,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
