String,Kind,Domains,ReadSites,StringVA
AnimActive,tag,art|ra2|ts|tsfs,0x461691,0x81a5f4
AnimAux1,unclassified,,0x461706,0x81a5e8
AnimAux2,unclassified,,0x461780,0x81a5dc
AnimHigh,tag,art|ra2|ts,0x46c3a6,0x81afe8
AnimIdle,unclassified,,0x461612,0x81a600
AnimList,tag,ra2|rules|ts|tsfs,0x75d66f,0x847d94
AnimLow,tag,art|ra2|ts,0x46c38c,0x81aff4
AnimPalette,tag,art|ra2|ts,0x46c3e2,0x81afd0
AnimRate,tag,art|ra2|ts,0x46c3ca,0x81afdc
AnimToInfantry,tag,rules,0x6707dc,0x83c084
AnimationProbability,tag,ra2|rules|ts|tsfs,0x71e060,0x844634
AnimationRate,tag,ra2|rules|ts|tsfs,0x71e03b,0x84464c
Animations,unclassified,,0x6728ba 0x6728db 0x6728e8,0x83d0dc
Anims,tag,mapsel|ra2|ts|tsfs,0x5cf0e5,0x8302fc
Annoyance,tag,ai|map|ra2|ts|tsfs,0x6f1187 0x6f15f5,0x8430b8
AntiAirValue,tag,rules,0x45fed2,0x81aeb0
AntiArmorValue,tag,rules,0x45feb8,0x81aec0
AntiInfantryValue,tag,rules,0x45fe9e,0x81aed0
ApproachTargetResetMultiplier,tag,ra2|rules,0x670148,0x83c3b4
Arcing,tag,ra2|rules|ts|tsfs,0x46bfb7,0x81b130
AreTeamMembersRecruitable,tag,ai|map|ra2|ts|tsfs,0x6f1400 0x6f1799,0x842fac
AreaFire,tag,ra2|rules,0x77283e,0x8492f4
Arm,tag,ra2|rules|ts|tsfs,0x46bf14,0x81b168
Armor,tag,map|ra2|rules|ts|tsfs,0x5119eb 0x5f94bc 0x66d2d9,0x81d9d4
ArmorAircraftMult,unclassified,,0x511b15,0x8253f8
ArmorBuildingsMult,unclassified,,0x511b34,0x8253e4
ArmorDefensesMult,unclassified,,0x511b53,0x8253d0
ArmorInfantryMult,unclassified,,0x511ad7,0x82541c
ArmorUnitsMult,unclassified,,0x511af6,0x82540c
Armory,tag,ra2|ts,0x460af7,0x81aa0c
Art_800,unclassified,,0x76831f,0x848b24
Artillary,tag,ts,0x460f43,0x81a828
Ask,unclassified,,0x7797f6 0x779904 0x779a06 0x779b14,0x84a11c
AssaultAnim,tag,ra2|rules,0x772574,0x849410
Assaulter,tag,ra2|rules,0x5244ef,0x82599c
AtmosphereEntry,tag,ts,0x66a5d2,0x83a5bc
AtomDamage,tag,ra2|rules|ts,0x66cd35,0x83adb4
AttachedParticleSystem,tag,ra2|rules|ts|tsfs,0x772913,0x849274
AttachedSystem,unclassified,,0x74b45e,0x845ea0
AttachedTo,unclassified,,0x5bba7d,0x82cea4
Attack,tag,ra2|sound,0x75064c,0x816e64
AttackCursorOnDisguise,tag,ra2|rules,0x66fc43,0x83c63c
AttackCursorOnFriendlies,tag,ra2|rules,0x71524f,0x843604
AttackDelay,tag,ra2|rules|ts,0x67398b,0x83d350
AttackFriendlies,unclassified,,0x71522e,0x843620
AttackInterval,tag,ra2|rules|ts,0x673964,0x83d35c
AttackingAircraftSightRange,tag,ra2|rules|ts,0x670f26,0x83bd5c
Audio,unclassified,,0x5fa9c3 0x5faa23 0x5faa98 0x5fab0a 0x5fab4e 0x5fab8d 0x5fac65 0x5faea6 0x5faec3 0x5faee0 0x5faef8 0x5faf10 0x5faf28 0x5faf45,0x8330b4
AuthenticAMD,unclassified,,0x4e61da,0x822cd8
AutoCrush,tag,ra2|rules|ts,0x67430d 0x714d32,0x83d4d8
AutoLogin,unclassified,,0x7797f1 0x7798ff 0x779c0d 0x779d5e,0x84a120
AutoScroll,unclassified,,0x5fa741 0x5fadbe,0x833240
Autocreate,tag,ai|map|ra2|ts|tsfs,0x6f11bf 0x6f163f,0x8430a0
AutocreateTime,tag,ra2|rules|ts,0x673a3e,0x83d304
AuxBuilding,tag,ts,0x6ced07,0x842664
AuxSound1,tag,ra2|rules|ts,0x712e18,0x844240
AuxSound2,tag,ra2|rules|ts,0x712e48,0x844234
AvoidThreats,tag,ai|map|ra2|ts|tsfs,0x6f137a 0x6f175d,0x843008
BAMR,code,,0x6c7262,0x8420cc
BARRACKS,unclassified,,0x475ae8 0x477211,0x81c01c
BASE,code,,0x6c72a0,0x8420c4
BATTLEMD.INI,file,,0x52cc4e 0x52cccd,0x826198
BEST01.SHP,file,,0x68cf14,0x83e474
BEST02.SHP,file,,0x68cf47,0x83e468
BIGFONT.SHP,file,,0x690b29,0x83e6dc
BROK,code,,0x6c785d 0x6c7880 0x6c78a3,0x842058
BUILDING,unclassified,,0x698ad0,0x83f018
BULLET,unclassified,,0x698af5,0x83f010
BUSY,code,,0x5f2b42 0x5f2f08,0x8327bc
Back,unclassified,,0x68d37c 0x68fdd9,0x83e3e8
BackButton,unclassified,,0x768abd,0x848a40
BackButtonDepressedFrame,unclassified,,0x768a80,0x848a4c
BackButtonHighlighted,unclassified,,0x768b60,0x848a28
BackButtonNormalFrame,unclassified,,0x768a4e,0x848a68
BackButtonOrigin,unclassified,,0x76897b,0x848aa4
BackButtonPalette,unclassified,,0x7689fd,0x848a80
BackButtonRectangle,unclassified,,0x768932,0x848ab8
BackTextRect,unclassified,,0x7685a6,0x848ae4
Background,tag,ts,0x4f1d59 0x7686ef,0x8241b4
BallisticScatter,tag,ra2|rules|ts|tsfs,0x66cd53,0x83ada0
BalloonHover,tag,ra2|rules,0x714d95,0x843838
BarGraph,unclassified,,0x68d29e 0x68f608,0x83e3f0
BarracksLimit,tag,ra2|rules|ts,0x673b4c,0x83d284
BarracksRatio,tag,ra2|rules|ts,0x673b2b,0x83d294
BarrelAnimIsVoxel,tag,tsfs,0x464659,0x8195f8
BarrelCompressFrames,tag,ra2|rules,0x71536a,0x84357c
